study	individual	group	count	interventions	measurement_type	substance	tissue	method	label	time	time_unit	mean	mean_pm	sd	unit	comments
Huang2017	NA	SOF400_P1	22.0	SOF400	concentration	sorafenib-M2	plasma	LC MS/MS	SOF400_m2	49.2521739130435	hour	89.8203592814371	244.311377245509	154.491017964072	ug/L	geometric mean and geometric SD
Huang2017	NA	SOF400_P1	22.0	SOF400	concentration	sorafenib-M2	plasma	LC MS/MS	SOF400_m2	72.7652173913044	hour	46.7065868263473	140.119760479042	93.4131736526947	ug/L	geometric mean and geometric SD
Huang2017	NA	SOF400_P1	22.0	SOF400	concentration	sorafenib-M2	plasma	LC MS/MS	SOF400_m2	95.8608695652174	hour	32.3353293413174	75.4491017964072	43.1137724550898	ug/L	geometric mean and geometric SD
Huang2017	NA	LEV300_P1	23.0	SOF400,LEV300	concentration	sorafenib-M2	plasma	LC MS/MS	LEV300_m2	2.36521739130435	hour	43.1137724550898	208.383233532934	165.269461077844	ug/L	geometric mean and geometric SD
Huang2017	NA	LEV300_P1	23.0	SOF400,LEV300	concentration	sorafenib-M2	plasma	LC MS/MS	LEV300_m2	3.89565217391304	hour	158.083832335329	617.964071856287	459.880239520958	ug/L	geometric mean and geometric SD
Huang2017	NA	LEV300_P1	23.0	SOF400,LEV300	concentration	sorafenib-M2	plasma	LC MS/MS	LEV300_m2	4.7304347826087	hour	247.904191616766	725.748502994012	477.844311377246	ug/L	geometric mean and geometric SD
Huang2017	NA	LEV300_P1	23.0	SOF400,LEV300	concentration	sorafenib-M2	plasma	LC MS/MS	LEV300_m2	6.12173913043478	hour	308.982035928144	786.826347305389	477.844311377245	ug/L	geometric mean and geometric SD
Huang2017	NA	LEV300_P1	23.0	SOF400,LEV300	concentration	sorafenib-M2	plasma	LC MS/MS	LEV300_m2	7.9304347826087	hour	154.491017964072	359.281437125748	204.790419161676	ug/L	geometric mean and geometric SD
Huang2017	NA	LEV300_P1	23.0	SOF400,LEV300	concentration	sorafenib-M2	plasma	LC MS/MS	LEV300_m2	9.73913043478261	hour	179.640718562874	485.02994011976	305.389221556886	ug/L	geometric mean and geometric SD
Huang2017	NA	LEV300_P1	23.0	SOF400,LEV300	concentration	sorafenib-M2	plasma	LC MS/MS	LEV300_m2	13.7739130434783	hour	233.532934131737	657.48502994012	423.952095808383	ug/L	geometric mean and geometric SD
Huang2017	NA	LEV300_P1	23.0	SOF400,LEV300	concentration	sorafenib-M2	plasma	LC MS/MS	LEV300_m2	17.8086956521739	hour	176.047904191617	477.844311377246	301.796407185629	ug/L	geometric mean and geometric SD
Huang2017	NA	LEV300_P1	23.0	SOF400,LEV300	concentration	sorafenib-M2	plasma	LC MS/MS	LEV300_m2	25.3217391304348	hour	161.676646706587	416.766467065868	255.089820359281	ug/L	geometric mean and geometric SD
Huang2017	NA	LEV300_P1	23.0	SOF400,LEV300	concentration	sorafenib-M2	plasma	LC MS/MS	LEV300_m2	37.4260869565217	hour	136.526946107784	348.502994011976	211.976047904192	ug/L	geometric mean and geometric SD
Huang2017	NA	LEV300_P1	23.0	SOF400,LEV300	concentration	sorafenib-M2	plasma	LC MS/MS	LEV300_m2	48.9739130434783	hour	79.0419161676647	183.233532934132	104.191616766467	ug/L	geometric mean and geometric SD
Huang2017	NA	LEV300_P1	23.0	SOF400,LEV300	concentration	sorafenib-M2	plasma	LC MS/MS	LEV300_m2	72.3478260869565	hour	43.1137724550898	114.97005988024	71.8562874251502	ug/L	geometric mean and geometric SD
Huang2017	NA	LEV300_P1	23.0	SOF400,LEV300	concentration	sorafenib-M2	plasma	LC MS/MS	LEV300_m2	96.0	hour	28.7425149700599	28.7425149700599	0.0	ug/L	geometric mean and geometric SD
