study	individual	group	count	interventions	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	sd	se	unit	comments
Mammatas2020	NA	SOF_2400	3.0	SOF2400	concentration	sorafenib	plasma	LC MS/MS	SOF_2400	4.3758855	hour	NA	2498.2556	NA	3831.7095	NA	µg/L	week1
Mammatas2020	NA	SOF_2400	3.0	SOF2400	concentration	sorafenib	plasma	LC MS/MS	SOF_2400	6.1491137	hour	NA	3979.1323	NA	6773.912	NA	µg/L	week1
Mammatas2020	NA	SOF_2400	3.0	SOF2400	concentration	sorafenib	plasma	LC MS/MS	SOF_2400	8.159983	hour	NA	10023.304	NA	14253.6045	NA	µg/L	week1
Mammatas2020	NA	SOF_2400	3.0	SOF2400	concentration	sorafenib	plasma	LC MS/MS	SOF_2400	9.088952	hour	NA	10430.255	NA	19121.453	NA	µg/L	week1
Mammatas2020	NA	SOF_2400	3.0	SOF2400	concentration	sorafenib	plasma	LC MS/MS	SOF_2400	10.075344	hour	NA	7811.3354	NA	12631.36	NA	µg/L	week1
Mammatas2020	NA	SOF_2400	3.0	SOF2400	concentration	sorafenib	plasma	LC MS/MS	SOF_2400	11.194498	hour	NA	8679.152	NA	14038.279	NA	µg/L	week1
Mammatas2020	NA	SOF_2400	3.0	SOF2400	concentration	sorafenib	plasma	LC MS/MS	SOF_2400	12.352209	hour	NA	12880.192	NA	20008.656	NA	µg/L	week1
Mammatas2020	NA	SOF_2400	3.0	SOF2400	concentration	sorafenib	plasma	LC MS/MS	SOF_2400	14.193657	hour	NA	20258.31	NA	32154.861	NA	µg/L	week1
Mammatas2020	NA	SOF_2400	3.0	SOF2400	concentration	sorafenib	plasma	LC MS/MS	SOF_2400	18.496578	hour	NA	16704.496	NA	25192.219	NA	µg/L	week1
Mammatas2020	NA	SOF_2400	3.0	SOF2400	concentration	sorafenib	plasma	LC MS/MS	SOF_2400	22.295387	hour	NA	17511.486	NA	26202.85	NA	µg/L	week1
Mammatas2020	NA	SOF_2400	3.0	SOF2400	concentration	sorafenib	plasma	LC MS/MS	SOF_2400	67.979095	hour	NA	3707.6558	NA	7706.2075	NA	µg/L	week1
Mammatas2020	NA	SOF_2800	3.0	SOF2800	concentration	sorafenib	plasma	LC MS/MS	SOF_2800	0.090049535	hour	NA	49.963795	NA	NA	NA	µg/L	week1
Mammatas2020	NA	SOF_2800	3.0	SOF2800	concentration	sorafenib	plasma	LC MS/MS	SOF_2800	5.955371	hour	NA	3210.5852	NA	4209.7295	NA	µg/L	week1
Mammatas2020	NA	SOF_2800	3.0	SOF2800	concentration	sorafenib	plasma	LC MS/MS	SOF_2800	8.164017	hour	NA	2382.2	NA	4663.847	NA	µg/L	week1
Mammatas2020	NA	SOF_2800	3.0	SOF2800	concentration	sorafenib	plasma	LC MS/MS	SOF_2800	9.134511	hour	NA	6378.777	NA	9147.587	NA	µg/L	week1
Mammatas2020	NA	SOF_2800	3.0	SOF2800	concentration	sorafenib	plasma	LC MS/MS	SOF_2800	10.513135	hour	NA	5707.195	NA	11399.974	NA	µg/L	week1
Mammatas2020	NA	SOF_2800	3.0	SOF2800	concentration	sorafenib	plasma	LC MS/MS	SOF_2800	11.34375	hour	NA	5601.672	NA	11089.165	NA	µg/L	week1
Mammatas2020	NA	SOF_2800	3.0	SOF2800	concentration	sorafenib	plasma	LC MS/MS	SOF_2800	12.063553	hour	NA	3906.7869	NA	6854.7495	NA	µg/L	week1
Mammatas2020	NA	SOF_2800	3.0	SOF2800	concentration	sorafenib	plasma	LC MS/MS	SOF_2800	14.205877	hour	NA	5335.067	NA	6308.9	NA	µg/L	week1
Mammatas2020	NA	SOF_2800	3.0	SOF2800	concentration	sorafenib	plasma	LC MS/MS	SOF_2800	15.207219	hour	NA	11998.223	NA	17510.367	NA	µg/L	week1
Mammatas2020	NA	SOF_2800	3.0	SOF2800	concentration	sorafenib	plasma	LC MS/MS	SOF_2800	19.712187	hour	NA	9930.88	NA	13444.901	NA	µg/L	week1
Mammatas2020	NA	SOF_2800	3.0	SOF2800	concentration	sorafenib	plasma	LC MS/MS	SOF_2800	23.464725	hour	NA	6738.003	NA	13123.066	NA	µg/L	week1
Mammatas2020	NA	SOF_2800	3.0	SOF2800	concentration	sorafenib	plasma	LC MS/MS	SOF_2800	68.136055	hour	NA	1296.8204	NA	2655.421	NA	µg/L	week1
