study	individual	group	count	interventions	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	median	sd	min	max	se	unit	comments
Duran2007	NA	SOF_400_L2	5.0	SOF400	cmax	sorafenib 	plasma	LC MS/MS	SOF_400_L2	NA	day	NA	11.7	NA	NA	NA	7.3	17.2	NA	ug/mL	day-15
Duran2007	NA	SOF_400_L2	5.0	SOF400	cmin	sorafenib 	plasma	LC MS/MS	SOF_400_L2	NA	day	NA	4.2	NA	NA	NA	1.7	7.7	NA	ug/mL	day-15
Duran2007	NA	SOF_400_L2	5.0	SOF400	tmax 	sorafenib 	plasma	LC MS/MS	SOF_400_L2	NA	day	NA	1.0	NA	NA	NA	0.0	2.0	NA	hr	day-15
Duran2007	NA	ERL_100_L1	3.0	ERF100	Css	erlotinib	plasma	LC MS/MS	ERL_100_L1	NA	day	NA	287.0	NA	NA	NA	293.0	NA	NA	ng/mL	day-15
Duran2007	NA	ERL_100_L1	3.0	ERF100	Css	erlotinib	plasma	LC MS/MS	ERL_100_L1	NA	day	NA	301.0	NA	NA	NA	483.0	NA	NA	ng/mL	day-16
Duran2007	NA	ERL_100_L1	3.0	ERF100	Css	erlotinib	plasma	LC MS/MS	ERL_100_L1	NA	day	NA	367.0	NA	NA	NA	428.0	NA	NA	ng/mL	day-22
Duran2007	NA	ERL_100_L1	3.0	ERF100	Css	erlotinib	plasma	LC MS/MS	ERL_100_L1	NA	day	NA	486.0	NA	NA	NA	403.0	NA	NA	ng/mL	day-29
Duran2007	NA	ERL_100_L1	3.0	ERF100	Css	erlotinib	plasma	LC MS/MS	ERL_100_L1	NA	day	NA	53.0	NA	NA	NA	27.0	NA	NA	ng/mL	day-15
Duran2007	NA	ERL_100_L1	3.0	ERF100	Css	erlotinib	plasma	LC MS/MS	ERL_100_L1	NA	day	NA	52.0	NA	NA	NA	65.0	NA	NA	ng/mL	day-16
Duran2007	NA	ERL_100_L1	3.0	ERF100	Css	erlotinib	plasma	LC MS/MS	ERL_100_L1	NA	day	NA	42.0	NA	NA	NA	48.0	NA	NA	ng/mL	day-22
Duran2007	NA	ERL_100_L1	3.0	ERF100	Css	erlotinib	plasma	LC MS/MS	ERL_100_L1	NA	day	NA	53.0	NA	NA	NA	35.0	NA	NA	ng/mL	day-29
Duran2007	NA	ERL_150_L2	14.0	ERF150	Css	OSI-420	plasma	LC MS/MS	ERL_150_L2	NA	day	NA	389.0	NA	NA	NA	426.0	NA	NA	ng/mL	day-15
Duran2007	NA	ERL_150_L2	14.0	ERF150	Css	OSI-420	plasma	LC MS/MS	ERL_150_L2	NA	day	NA	389.0	NA	NA	NA	426.0	NA	NA	ng/mL	day-16
Duran2007	NA	ERL_150_L2	14.0	ERF150	Css	OSI-420	plasma	LC MS/MS	ERL_150_L2	NA	day	NA	567.0	NA	NA	NA	626.0	NA	NA	ng/mL	day-22
Duran2007	NA	ERL_150_L2	14.0	ERF150	Css	OSI-420	plasma	LC MS/MS	ERL_150_L2	NA	day	NA	800.0	NA	NA	NA	629.0	NA	NA	ng/mL	day-29
Duran2007	NA	ERL_150_L2	14.0	ERF150	Css	OSI-420	plasma	LC MS/MS	ERL_150_L2	NA	day	NA	755.0	NA	NA	NA	827.0	NA	NA	ng/mL	day-15
Duran2007	NA	ERL_150_L2	14.0	ERF150	Css	OSI-420	plasma	LC MS/MS	ERL_150_L2	NA	day	NA	75.0	NA	NA	NA	78.0	NA	NA	ng/mL	day-16
Duran2007	NA	ERL_150_L2	14.0	ERF150	Css	OSI-420	plasma	LC MS/MS	ERL_150_L2	NA	day	NA	92.0	NA	NA	NA	82.0	NA	NA	ng/mL	day-22
Duran2007	NA	ERL_150_L2	14.0	ERF150	Css	OSI-420	plasma	LC MS/MS	ERL_150_L2	NA	day	NA	83.0	NA	NA	NA	90.0	NA	NA	ng/mL	day-29
